"year","age","sex","group","chronic_liver_disease","poisonings","suicides","vehicle_transport","alcohol_induced","assault_homicide","drug_induced","legal_intervention","motor_accidents","all_cause","population"
1999,36,"Female","White Non-Hispanic",44,106,113,145,49,44,151,0,138,1494,1.58703e+006
1999,36,"Male","Black Non-Hispanic",13,50,40,89,26,107,68,5,83,958,265218
1999,36,"Male","Hispanic",30,51,34,75,41,33,59,3,62,498,296752
1999,36,"Male","White Non-Hispanic",58,216,417,371,95,91,275,8,323,2682,1.58493e+006
1999,37,"Female","Black Non-Hispanic",13,24,7,30,15,36,31,0,25,690,301874
1999,37,"Female","Hispanic",11,11,10,19,8,9,16,0,19,193,252275
1999,37,"Female","White Non-Hispanic",53,103,109,182,60,49,141,1,167,1636,1.6248e+006
1999,37,"Male","Black Non-Hispanic",17,50,46,82,35,100,59,2,76,1029,266704
1999,37,"Male","Hispanic",23,59,29,65,26,37,65,2,61,502,275238
1999,37,"Male","White Non-Hispanic",89,272,408,373,117,94,340,9,340,3015,1.63079e+006
1999,38,"Female","Black Non-Hispanic",10,22,6,42,9,36,28,0,40,785,292211
1999,38,"Female","Hispanic",10,12,7,19,10,10,17,0,18,239,253656
1999,38,"Female","White Non-Hispanic",58,114,125,158,49,53,167,2,151,1806,1.61587e+006
1999,38,"Male","Black Non-Hispanic",14,52,41,72,19,108,65,7,70,1072,254974
1999,38,"Male","Hispanic",35,56,43,54,40,43,74,2,49,543,276663
1999,38,"Male","White Non-Hispanic",109,295,415,423,139,89,368,5,388,3326,1.61548e+006
1999,39,"Female","Black Non-Hispanic",16,24,6,32,19,27,36,0,30,819,303875
1999,39,"Female","Hispanic",1,11,12,17,4,4,18,0,16,225,240404
1999,39,"Female","White Non-Hispanic",75,116,133,179,84,55,158,0,163,1974,1.65907e+006
1999,39,"Male","Black Non-Hispanic",19,60,37,81,39,103,76,4,73,1164,271423
1999,39,"Male","Hispanic",43,52,35,52,40,41,59,2,48,555,254078
1999,39,"Male","White Non-Hispanic",133,225,442,345,177,94,301,5,298,3497,1.6619e+006
1999,40,"Female","Black Non-Hispanic",13,33,9,34,15,41,45,0,34,828,308263
1999,40,"Female","Hispanic",13,8,6,19,8,10,10,0,17,252,240585
1999,40,"Female","White Non-Hispanic",64,118,125,177,69,48,171,1,162,2041,1.67282e+006
1999,40,"Male","Black Non-Hispanic",25,49,35,82,31,96,72,4,77,1247,272091
1999,40,"Male","Hispanic",33,49,24,72,39,45,61,2,67,532,258355
1999,40,"Male","White Non-Hispanic",154,277,439,400,196,71,351,4,351,3816,1.68559e+006
1999,41,"Female","Black Non-Hispanic",19,20,14,26,27,28,39,0,24,930,283803
1999,41,"Female","Hispanic",10,8,3,12,8,5,11,0,10,260,214664
1999,41,"Female","White Non-Hispanic",91,110,135,145,81,33,172,0,139,2253,1.634e+006
1999,41,"Male","Black Non-Hispanic",46,64,16,66,51,97,83,2,60,1356,251291
1999,41,"Male","Hispanic",44,48,22,69,50,31,52,0,63,565,231415
1999,41,"Male","White Non-Hispanic",188,318,431,390,212,86,404,7,344,4127,1.62626e+006
1999,42,"Female","Black Non-Hispanic",26,36,10,25,25,36,52,0,25,1002,287651
1999,42,"Female","Hispanic",10,17,4,20,9,8,19,0,18,277,213521
1999,42,"Female","White Non-Hispanic",80,112,144,157,78,34,170,0,147,2400,1.65779e+006
1999,42,"Male","Black Non-Hispanic",48,63,36,79,54,83,84,1,73,1478,254295
1999,42,"Male","Hispanic",58,48,30,50,58,34,55,1,45,594,218876
1999,42,"Male","White Non-Hispanic",206,281,419,378,253,100,359,5,326,4382,1.65658e+006
1999,43,"Female","Black Non-Hispanic",16,40,8,28,21,18,47,0,26,1063,273522
1999,43,"Female","Hispanic",17,6,5,12,15,3,7,0,12,253,205948
1999,43,"Female","White Non-Hispanic",82,106,123,152,88,43,176,0,137,2590,1.5866e+006
1999,43,"Male","Black Non-Hispanic",49,88,23,73,52,81,112,4,66,1547,237571
1999,43,"Male","Hispanic",62,50,16,49,53,21,59,0,42,574,212239
1999,43,"Male","White Non-Hispanic",236,286,396,370,252,89,358,10,328,4822,1.57092e+006
1999,44,"Female","Black Non-Hispanic",32,35,7,17,23,20,48,0,17,1104,267457
